Codigo,adm,Intereses,sancion,parqueaderos,otros valores,retroactivo,total,saldo a favor
10102,0,0,0,0,0,0,184000,0
10103,0,0,0,0,0,0,63600,0
10104,0,0,0,0,0,0,104400,0
10201,0,0,0,0,0,0,44600,0
10202,0,0,0,0,0,0,544570,0
10203,0,0,0,0,0,0,0,45400
10204,0,0,0,0,0,0,67100,0
10301,0,0,0,0,0,0,60100,0
10302,0,0,0,0,0,0,320296,0
10303,0,0,0,0,0,0,62200,0
10304,0,0,0,0,0,0,115000,0
10401,0,0,0,0,0,0,47440,0
10402,0,0,0,0,0,0,241800,0
10403,0,0,0,0,0,0,393400,0
10404,0,0,0,0,0,0,64000,0
10501,0,0,0,0,0,0,122300,0
10502,0,0,0,0,0,0,113400,0
10503,0,0,0,0,0,0,1045499,0
10504,0,0,0,0,0,0,1003100,0
10601,0,0,0,0,0,0,230000,0
10602,0,0,0,0,0,0,140900,0
10603,0,0,0,0,0,0,699100,0
10604,0,0,0,0,0,0,635000,0
11101,0,0,0,0,0,0,50000,0
11102,0,0,0,0,0,0,73000,0
11103,0,0,0,0,0,0,40400,0
11104,0,0,0,0,0,0,777999,0
11201,0,0,0,0,0,0,1947300,0
11202,0,0,0,0,0,0,2007100,0
11203,0,0,0,0,0,0,64100,0
11204,0,0,0,0,0,0,385000,0
11301,0,0,0,0,0,0,70200,0
11302,0,0,0,0,0,0,22400,0
11303,0,0,0,0,0,0,0,46000
11304,0,0,0,0,0,0,44800,0
11401,0,0,0,0,0,0,1159941,0
11402,0,0,0,0,0,0,366800,0
11403,0,0,0,0,0,0,45800,0
11404,0,0,0,0,0,0,88600,0
11501,0,0,0,0,0,0,2126714,0
11502,0,0,0,0,0,0,188780,0
11503,0,0,0,0,0,0,54000,0
11504,0,0,0,0,0,0,35600,0
11601,0,0,0,0,0,0,55300,0
11602,0,0,0,0,0,0,54000,0
11603,0,0,0,0,0,0,230300,0
11604,0,0,0,0,0,0,20200,0
12101,0,0,0,0,0,0,199000,0
12102,0,0,0,0,0,0,351800,0
12103,0,0,0,0,0,0,1223621,0
12104,0,0,0,0,0,0,60100,0
12201,0,0,0,0,0,0,1820601,0
12202,0,0,0,0,0,0,15800,0
12203,0,0,0,0,0,0,10100,0
12204,0,0,0,0,0,0,87300,0
12301,0,0,0,0,0,0,591110,0
12302,0,0,0,0,0,0,53400,0
12303,0,0,0,0,0,0,52500,0
12304,0,0,0,0,0,0,57000,0
12401,0,0,0,0,0,0,16000,0
12402,0,0,0,0,0,0,53000,0
12403,0,0,0,0,0,0,1070510,0
12404,0,0,0,0,0,0,962900,0
12501,0,0,0,0,0,0,486380,0
12502,0,0,0,0,0,0,331300,0
12503,0,0,0,0,0,0,106700,0
12504,0,0,0,0,0,0,714860,0
12601,0,0,0,0,0,0,668400,0
12602,0,0,0,0,0,0,2369200,0
12603,0,0,0,0,0,0,71600,0
12604,0,0,0,0,0,0,59000,0
13101,0,0,0,0,0,0,441000,0
13102,0,0,0,0,0,0,1286194,0
13103,0,0,0,0,0,0,1113300,0
13104,0,0,0,0,0,0,20200,0
13201,0,0,0,0,0,0,50000,0
13202,0,0,0,0,0,0,723200,0
13203,0,0,0,0,0,0,169600,0
13204,0,0,0,0,0,0,40498,0
13301,0,0,0,0,0,0,35154,0
13302,0,0,0,0,0,0,74200,0
13303,0,0,0,0,0,0,108300,0
13304,0,0,0,0,0,0,82800,0
13401,0,0,0,0,0,0,80300,0
13402,0,0,0,0,0,0,54000,0
13403,0,0,0,0,0,0,86610,0
13404,0,0,0,0,0,0,77200,0
13501,0,0,0,0,0,0,426558,0
13502,0,0,0,0,0,0,130100,0
13503,0,0,0,0,0,0,1239107,0
13504,0,0,0,0,0,0,3785700,0
13601,0,0,0,0,0,0,70200,0
13602,0,0,0,0,0,0,115000,0
13603,0,0,0,0,0,0,65500,0
13604,0,0,0,0,0,0,57000,0
14101,0,0,0,0,0,0,39400,0
14102,0,0,0,0,0,0,55700,0
14103,0,0,0,0,0,0,49172,0
14104,0,0,0,0,0,0,70200,0
14201,0,0,0,0,0,0,1047000,0
14202,0,0,0,0,0,0,91980,0
14203,0,0,0,0,0,0,71740,0
14204,0,0,0,0,0,0,192700,0
14301,0,0,0,0,0,0,60100,0
14302,0,0,0,0,0,0,54000,0
14303,0,0,0,0,0,0,54000,0
14304,0,0,0,0,0,0,46000,0
14401,0,0,0,0,0,0,42980,0
14402,0,0,0,0,0,0,89800,0
14403,0,0,0,0,0,0,10100,0
14404,0,0,0,0,0,0,113600,0
14501,0,0,0,0,0,0,70200,0
14502,0,0,0,0,0,0,129200,0
14503,0,0,0,0,0,0,0,0
14504,0,0,0,0,0,0,204800,0
14601,0,0,0,0,0,0,80300,0
14602,0,0,0,0,0,0,84300,0
14603,0,0,0,0,0,0,54000,0
14604,0,0,0,0,0,0,282840,0
15101,0,0,0,0,0,0,50000,0
15102,0,0,0,0,0,0,10100,0
15103,0,0,0,0,0,0,432000,0
15104,0,0,0,0,0,0,139480,0
15201,0,0,0,0,0,0,45200,0
15202,0,0,0,0,0,0,60700,0
15203,0,0,0,0,0,0,30300,0
15204,0,0,0,0,0,0,1111400,0
15301,0,0,0,0,0,0,66690,0
15302,0,0,0,0,0,0,53000,0
15303,0,0,0,0,0,0,64100,0
15304,0,0,0,0,0,0,821022,0
15401,0,0,0,0,0,0,89200,0
15402,0,0,0,0,0,0,172600,0
15403,0,0,0,0,0,0,55900,0
15404,0,0,0,0,0,0,57000,0
15501,0,0,0,0,0,0,48200,0
15502,0,0,0,0,0,0,74000,0
15503,0,0,0,0,0,0,652000,0
15504,0,0,0,0,0,0,57000,0
15601,0,0,0,0,0,0,112100,0
15602,0,0,0,0,0,0,233019,0
15603,0,0,0,0,0,0,105700,0
